,Time,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip.,Condition,date
0,12:00 AM,32ʡF,16ʡF,51ʡ%,NNW,7ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
1,1:00 AM,32ʡF,16ʡF,51ʡ%,NNW,7ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
2,2:00 AM,32ʡF,16ʡF,51ʡ%,NNW,10ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
3,3:00 AM,32ʡF,16ʡF,51ʡ%,NNW,10ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
4,4:00 AM,32ʡF,16ʡF,51ʡ%,NNW,13ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
5,5:00 AM,30ʡF,16ʡF,55ʡ%,NNW,7ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
6,6:00 AM,28ʡF,16ʡF,59ʡ%,NNW,8ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
7,7:00 AM,28ʡF,14ʡF,55ʡ%,N,8ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
8,8:00 AM,30ʡF,14ʡF,51ʡ%,N,10ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161101
9,9:00 AM,32ʡF,12ʡF,44ʡ%,N,10ʡmph,0ʡmph,30.44ʡin,0.0ʡin,Fair,20161101
10,10:00 AM,34ʡF,14ʡF,44ʡ%,NNW,7ʡmph,0ʡmph,30.44ʡin,0.0ʡin,Fair,20161101
11,11:00 AM,36ʡF,12ʡF,38ʡ%,NNW,5ʡmph,0ʡmph,30.44ʡin,0.0ʡin,Fair,20161101
12,12:00 PM,37ʡF,14ʡF,38ʡ%,WNW,5ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161101
13,1:00 PM,39ʡF,12ʡF,33ʡ%,NW,6ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
14,2:00 PM,41ʡF,10ʡF,29ʡ%,NW,9ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
15,3:00 PM,41ʡF,10ʡF,29ʡ%,NNW,13ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
16,4:00 PM,41ʡF,10ʡF,29ʡ%,NW,7ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
17,5:00 PM,39ʡF,10ʡF,31ʡ%,NW,6ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
18,6:00 PM,37ʡF,10ʡF,33ʡ%,NW,6ʡmph,0ʡmph,30.35ʡin,0.0ʡin,Fair,20161101
19,7:00 PM,37ʡF,14ʡF,38ʡ%,WNW,5ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
20,8:00 PM,34ʡF,14ʡF,44ʡ%,WNW,5ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
21,9:00 PM,34ʡF,14ʡF,44ʡ%,NNW,5ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
22,10:00 PM,34ʡF,14ʡF,44ʡ%,N,5ʡmph,0ʡmph,30.38ʡin,0.0ʡin,Fair,20161101
23,11:00 PM,32ʡF,16ʡF,51ʡ%,NNW,5ʡmph,0ʡmph,30.41ʡin,0.0ʡin,Fair,20161101
